sequence,mesh terms,abstract
"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('axilla', 'A01.378.800.090'), ('breast neoplasms', 'C17.800.090.500.260'), ('combined modality therapy', 'E02.186'), ('disease-free survival', 'N06.850.520.830.998.300'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lymph node excision', 'E04.446'), ('lymphatic metastasis', 'C23.550.727.650.560'), ('mastectomy', 'E04.466.823'), ('middle aged', 'M01.060.116.630'), ('multivariate analysis', 'N06.850.520.830.150.500'), ('neoplasm invasiveness', 'C23.550.727.645'), ('sentinel lymph node', 'A15.382.520.604.412.750'), ('sentinel lymph node biopsy', 'E05.242.384.100.580'), ('survival rate', 'N06.850.520.308.985.550.900')]","['Adult', 'Aged', 'Aged, 80 and over', 'Axilla', 'Breast Neoplasms', 'Combined Modality Therapy', 'Disease-Free Survival', 'Female', 'Follow-Up Studies', 'Humans', 'Lymph Node Excision', 'Lymphatic Metastasis', 'Mastectomy, Segmental', 'Middle Aged', 'Multivariate Analysis', 'Neoplasm Invasiveness', 'Sentinel Lymph Node', 'Sentinel Lymph Node Biopsy', 'Survival Rate']","b""Health outcomes from the Women's Health Initiative Estrogen Plus Progestin and Estrogen-Alone Trials have been reported, but previous publications have generally not focused on all-cause and cause-specific mortality."""
"[('adolescent', 'M01.643.154'), ('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('cost-benefit analysis', 'N03.219.151.125'), ('delivery of health care', 'N05.300.262'), ('depressive disorder', 'F03.600.300.388'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('health promotion', 'N02.421.726.507'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('india', 'Z01.252.245.393'), ('middle aged', 'M01.060.116.630'), ('primary health care', 'N04.590.233.727'), ('psychiatric status rating scales', 'F04.586'), ('psychotherapy', 'F04.754.864.581'), ('treatment outcome', 'N05.715.360.575.575.800'), ('young adult', 'M01.060.116.815')]","['Adolescent', 'Adult', 'Aged', 'Cost-Benefit Analysis', 'Delivery of Health Care', 'Depressive Disorder, Major', 'Female', 'Follow-Up Studies', 'Health Promotion', 'Humans', 'India', 'Male', 'Middle Aged', 'Primary Health Care', 'Psychiatric Status Rating Scales', 'Psychotherapy', 'Treatment Outcome', 'Young Adult']","b'The Healthy Activity Programme (HAP), a brief behavioural intervention delivered by lay counsellors, enhanced remission over 3 months among primary care attendees with depression in peri-urban and rural settings in India. We evaluated the sustainability of the effects after treatment termination, the cost-effectiveness of HAP over 12 months, and the effects of the hypothesized mediator of activation on clinical outcomes.'"
"[('adolescent', 'M01.643.154'), ('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('cost-benefit analysis', 'N03.219.151.125'), ('delivery of health care', 'N05.300.262'), ('depressive disorder', 'F03.600.300.388'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('health promotion', 'N02.421.726.507'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('india', 'Z01.252.245.393'), ('middle aged', 'M01.060.116.630'), ('primary health care', 'N04.590.233.727'), ('psychiatric status rating scales', 'F04.586'), ('psychotherapy', 'F04.754.864.581'), ('treatment outcome', 'N05.715.360.575.575.800'), ('young adult', 'M01.060.116.815')]","['Adolescent', 'Adult', 'Aged', 'Cost-Benefit Analysis', 'Delivery of Health Care', 'Depressive Disorder, Major', 'Female', 'Follow-Up Studies', 'Health Promotion', 'Humans', 'India', 'Male', 'Middle Aged', 'Primary Health Care', 'Psychiatric Status Rating Scales', 'Psychotherapy', 'Treatment Outcome', 'Young Adult']","b'Hepatitis B virus (HBV) reactivation in patients with resolved HBV infection (HBsAg negative, antiHBc positive) is uncommon, but potentially fatal. The role of HBV prophylaxis in this setting is uncertain. The aim of this study was to compare the efficacy of tenofovir disoproxil fumarate (TDF) prophylaxis versus close monitoring in antiHBc-positive, HBsAg-negative patients under treatment with rituximab (RTX)-based regimens for hematologic malignancy.'"
"[('adolescent', 'M01.643.154'), ('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('alcohol drinking', 'F01.145.317.269'), ('alcoholism', 'F03.900.100.350'), ('cost-benefit analysis', 'N03.219.151.125'), ('counseling', 'N02.421.461.363'), ('delivery of health care', 'N05.300.262'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('health promotion', 'N02.421.726.507'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('india', 'Z01.252.245.393'), ('middle aged', 'M01.060.116.630'), ('primary health care', 'N04.590.233.727'), ('psychotherapy', 'F04.754.864.581'), ('treatment outcome', 'N05.715.360.575.575.800'), ('young adult', 'M01.060.116.815')]","['Adolescent', 'Adult', 'Aged', 'Alcohol Drinking', 'Alcoholism', 'Cost-Benefit Analysis', 'Counseling', 'Delivery of Health Care', 'Follow-Up Studies', 'Health Promotion', 'Humans', 'India', 'Male', 'Middle Aged', 'Primary Health Care', 'Psychotherapy', 'Treatment Outcome', 'Young Adult']","b""Counselling for Alcohol Problems (CAP), a brief intervention delivered by lay counsellors, enhanced remission and abstinence over 3 months among male primary care attendees with harmful drinking in a setting in India. We evaluated the sustainability of the effects after treatment termination, the cost-effectiveness of CAP over 12 months, and the effects of the hypothesized mediator 'readiness to change' on clinical outcomes."""
"[('adolescent', 'M01.643.154'), ('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('alcohol drinking', 'F01.145.317.269'), ('alcoholism', 'F03.900.100.350'), ('cost-benefit analysis', 'N03.219.151.125'), ('counseling', 'N02.421.461.363'), ('delivery of health care', 'N05.300.262'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('health promotion', 'N02.421.726.507'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('india', 'Z01.252.245.393'), ('middle aged', 'M01.060.116.630'), ('primary health care', 'N04.590.233.727'), ('psychotherapy', 'F04.754.864.581'), ('treatment outcome', 'N05.715.360.575.575.800'), ('young adult', 'M01.060.116.815')]","['Adolescent', 'Adult', 'Aged', 'Alcohol Drinking', 'Alcoholism', 'Cost-Benefit Analysis', 'Counseling', 'Delivery of Health Care', 'Follow-Up Studies', 'Health Promotion', 'Humans', 'India', 'Male', 'Middle Aged', 'Primary Health Care', 'Psychotherapy', 'Treatment Outcome', 'Young Adult']",b'Intraoperative ultrasonography during open surgery for colorectal cancer may be useful for the detection of unrecognized liver metastases. Laparoscopic ultrasonography (LUS) for the detection of unrecognized liver metastasis has not been studied in a randomized trial. This RCT tested the hypothesis that LUS would change the TNM stage and treatment strategy.'
"[('blood loss', 'C23.550.505.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laparoscopy', 'E04.502.250.520'), ('length of stay', 'N02.421.585.400.480'), ('lymph node excision', 'E04.446'), ('middle aged', 'M01.060.116.630'), ('operative time', 'N02.421.585.753.374.500'), ('pancreatic ducts', 'A03.734.667'), ('pancreatic neoplasms', 'C19.344.421'), ('pancreaticoduodenectomy', 'E04.210.760'), ('postoperative complications', 'C23.550.767')]","['Blood Loss, Surgical', 'Female', 'Humans', 'Laparoscopy', 'Length of Stay', 'Lymph Node Excision', 'Male', 'Middle Aged', 'Operative Time', 'Pancreatic Ducts', 'Pancreatic Neoplasms', 'Pancreaticoduodenectomy', 'Postoperative Complications']","b'Laparoscopic resection as an alternative to open pancreatoduodenectomy may yield short-term benefits, but has not been investigated in a randomized trial. The aim of this study was to compare laparoscopic and open pancreatoduodenectomy for short-term outcomes in a randomized trial.'"
"[('blood loss', 'C23.550.505.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laparoscopy', 'E04.502.250.520'), ('length of stay', 'N02.421.585.400.480'), ('lymph node excision', 'E04.446'), ('middle aged', 'M01.060.116.630'), ('operative time', 'N02.421.585.753.374.500'), ('pancreatic ducts', 'A03.734.667'), ('pancreatic neoplasms', 'C19.344.421'), ('pancreaticoduodenectomy', 'E04.210.760'), ('postoperative complications', 'C23.550.767')]","['Blood Loss, Surgical', 'Female', 'Humans', 'Laparoscopy', 'Length of Stay', 'Lymph Node Excision', 'Male', 'Middle Aged', 'Operative Time', 'Pancreatic Ducts', 'Pancreatic Neoplasms', 'Pancreaticoduodenectomy', 'Postoperative Complications']","b'Intravenous zoledronate 5 mg annually reduces fracture risk, and 5 mg every 2 years prevents bone loss, but the optimal dosing regimens for these indications are uncertain.'"
"[('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anticoagulants', 'D27.505.954.502.119'), ('atrial fibrillation', 'C23.550.073.198'), ('diffusion magnetic resonance imaging', 'E01.370.350.825.500.150'), ('factor xa inhibitors', 'D27.505.954.502.119.500.500'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('intracranial hemorrhages', 'C23.550.414.913'), ('magnetic resonance angiography', 'E01.370.370.050.500'), ('middle aged', 'M01.060.116.630'), ('republic of korea', 'Z01.252.474.557.750'), ('rivaroxaban', 'D03.383.903.727'), ('stroke', 'C14.907.253.855.600'), ('treatment outcome', 'N05.715.360.575.575.800'), ('warfarin', 'D03.633.100.150.446.520.914')]","['Aged', 'Aged, 80 and over', 'Anticoagulants', 'Atrial Fibrillation', 'Diffusion Magnetic Resonance Imaging', 'Factor Xa Inhibitors', 'Female', 'Follow-Up Studies', 'Humans', 'Intracranial Hemorrhages', 'Magnetic Resonance Angiography', 'Male', 'Middle Aged', 'Republic of Korea', 'Rivaroxaban', 'Stroke', 'Treatment Outcome', 'Warfarin']","b'In atrial fibrillation (AF)-related acute ischemic stroke, the optimal oral anticoagulation strategy remains unclear.'"
"[('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anticoagulants', 'D27.505.954.502.119'), ('atrial fibrillation', 'C23.550.073.198'), ('diffusion magnetic resonance imaging', 'E01.370.350.825.500.150'), ('factor xa inhibitors', 'D27.505.954.502.119.500.500'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('intracranial hemorrhages', 'C23.550.414.913'), ('magnetic resonance angiography', 'E01.370.370.050.500'), ('middle aged', 'M01.060.116.630'), ('republic of korea', 'Z01.252.474.557.750'), ('rivaroxaban', 'D03.383.903.727'), ('stroke', 'C14.907.253.855.600'), ('treatment outcome', 'N05.715.360.575.575.800'), ('warfarin', 'D03.633.100.150.446.520.914')]","['Aged', 'Aged, 80 and over', 'Anticoagulants', 'Atrial Fibrillation', 'Diffusion Magnetic Resonance Imaging', 'Factor Xa Inhibitors', 'Female', 'Follow-Up Studies', 'Humans', 'Intracranial Hemorrhages', 'Magnetic Resonance Angiography', 'Male', 'Middle Aged', 'Republic of Korea', 'Rivaroxaban', 'Stroke', 'Treatment Outcome', 'Warfarin']","b'Children with moderate acute malnutrition (MAM) are treated with lipid-based nutrient supplement (LNS) or corn-soy blend (CSB). We assessed the effectiveness of (a) matrix, i.e., LNS or CSB, (b) soy quality, i.e., soy isolate (SI) or dehulled soy (DS), and (c) percentage of total protein from dry skimmed milk, i.e., 0%, 20%, or 50%, in increasing fat-free tissue accretion.'"
"[('aged', 'M01.060.116.100.080'), ('alendronate', 'D02.705.429.500.100'), ('antibodies', 'D23.101.050'), ('bone density', 'G11.427.100'), ('bone density conservation agents', 'D27.505.696.242'), ('bone remodeling', 'G16.762.150'), ('cardiovascular diseases', 'C14'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('fractures', 'C26.640.500'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('incidence', 'N06.850.520.308.985.525.375'), ('least-squares analysis', 'N06.850.520.830.750.400'), ('osteoporosis', 'C18.452.104.579.610'), ('risk', 'N06.850.520.830.600.800'), ('spinal fractures', 'C26.404.812')]","['Aged', 'Alendronate', 'Antibodies, Monoclonal', 'Bone Density', 'Bone Density Conservation Agents', 'Bone Remodeling', 'Cardiovascular Diseases', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Fractures, Bone', 'Humans', 'Incidence', 'Least-Squares Analysis', 'Osteoporosis, Postmenopausal', 'Risk', 'Spinal Fractures']","b'Romosozumab is a monoclonal antibody that binds to and inhibits sclerostin, increases bone formation, and decreases bone resorption.'"
"[('aged', 'M01.060.116.100.080'), ('alendronate', 'D02.705.429.500.100'), ('antibodies', 'D23.101.050'), ('bone density', 'G11.427.100'), ('bone density conservation agents', 'D27.505.696.242'), ('bone remodeling', 'G16.762.150'), ('cardiovascular diseases', 'C14'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('fractures', 'C26.640.500'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('incidence', 'N06.850.520.308.985.525.375'), ('least-squares analysis', 'N06.850.520.830.750.400'), ('osteoporosis', 'C18.452.104.579.610'), ('risk', 'N06.850.520.830.600.800'), ('spinal fractures', 'C26.404.812')]","['Aged', 'Alendronate', 'Antibodies, Monoclonal', 'Bone Density', 'Bone Density Conservation Agents', 'Bone Remodeling', 'Cardiovascular Diseases', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Fractures, Bone', 'Humans', 'Incidence', 'Least-Squares Analysis', 'Osteoporosis, Postmenopausal', 'Risk', 'Spinal Fractures']","b'Previous literature has shown that propofol has ideal anesthetic properties for patients undergoing colonoscopy, a common procedure at outpatient surgery centers. However, there is a paucity of information regarding patient satisfaction with propofol.'"
"[('acupuncture therapy', 'E02.190.044'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('palliative care', 'N02.421.585.666'), ('practice guidelines as topic', 'N05.700.350.650')]","['Acupuncture Therapy', 'Humans', 'Palliative Care', 'Practice Guidelines as Topic']","b'The use of complementary and alternative medicine methods such as acupuncture in palliative care has increased over the past years. Well-planned trials are warranted to show its effectiveness in relieving distressing symptoms. The development of treatment schemes to be used in the trial for both acupuncture and medical symptom control is challenging, as both acupuncture and palliative care are highly individualized. Thus, standardized care plans of a randomized controlled trial will have difficulties in producing treatment results that compare to the clinical practice. As an alternative, treatment protocols for both acupuncture and medical symptom control of dyspnea, pruritus, hypersalivation, depression, anxiety, and xerostomia were designed with the input of experts. They are designed to provide sufficient symptom control and comparability for a three-arm, randomized controlled trial. Medical symptom control will be provided to all groups. The two control groups will be medical treatment and sham-laser acupuncture.'"
"[('acupuncture therapy', 'E02.190.044'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('palliative care', 'N02.421.585.666'), ('practice guidelines as topic', 'N05.700.350.650')]","['Acupuncture Therapy', 'Humans', 'Palliative Care', 'Practice Guidelines as Topic']",b'Diabetes mellitus is a major global health problem. Needling at CV-12 has reduced blood glucose level in diabetic rats. The aim of this study was to evaluate the effect of needling at CV-12 (Zhongwan) on blood glucose level in patients with type 2 diabetes mellitus (T2DM).'
"[('arterial pressure', 'G09.330.380.076.347'), ('belgium', 'Z01.542.115'), ('brain', 'A08.186.211'), ('cardiopulmonary resuscitation', 'E02.365.647.110'), ('coma', 'C26.915.300.350'), ('diffusion magnetic resonance imaging', 'E01.370.350.825.500.150'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('intensive care units', 'N02.278.388.493.390.380'), ('out-of-hospital cardiac arrest', 'C14.280.383.610'), ('prognosis', 'E01.789'), ('single-blind method', 'N06.850.520.445.850'), ('survival rate', 'N06.850.520.308.985.550.900')]","['Arterial Pressure', 'Belgium', 'Brain', 'Cardiopulmonary Resuscitation', 'Coma', 'Diffusion Magnetic Resonance Imaging', 'Female', 'Humans', 'Intensive Care Units', 'Male', 'Out-of-Hospital Cardiac Arrest', 'Prognosis', 'Single-Blind Method', 'Survival Rate']","b'Post-cardiac arrest (CA) patients admitted to the intensive care unit (ICU) have a poor prognosis, with estimated survival rates of around 30%-50%. On admission, these patients have a large cerebral penumbra at risk for additional damage in case of suboptimal brain oxygenation during their stay in the ICU. The aim of the Neuroprotect post-CA trial is to investigate whether forcing mean arterial blood pressure (MAP) and mixed venous oxygen saturation (SVO2) in a specific range (MAP 85-100 mm Hg, SVO2 65%-75%) with additional pharmacological support (goal-directed hemodynamic optimization) may better salvage the penumbra, reduce cerebral ischemia, and improve functional outcome when compared with current standard of care (MAP 65 mm Hg).'"
"[('arterial pressure', 'G09.330.380.076.347'), ('belgium', 'Z01.542.115'), ('brain', 'A08.186.211'), ('cardiopulmonary resuscitation', 'E02.365.647.110'), ('coma', 'C26.915.300.350'), ('diffusion magnetic resonance imaging', 'E01.370.350.825.500.150'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('intensive care units', 'N02.278.388.493.390.380'), ('out-of-hospital cardiac arrest', 'C14.280.383.610'), ('prognosis', 'E01.789'), ('single-blind method', 'N06.850.520.445.850'), ('survival rate', 'N06.850.520.308.985.550.900')]","['Arterial Pressure', 'Belgium', 'Brain', 'Cardiopulmonary Resuscitation', 'Coma', 'Diffusion Magnetic Resonance Imaging', 'Female', 'Humans', 'Intensive Care Units', 'Male', 'Out-of-Hospital Cardiac Arrest', 'Prognosis', 'Single-Blind Method', 'Survival Rate']","b'Chronic kidney disease (CKD) is associated with increased left ventricular (LV) mass and arterial stiffness. In a previous trial, spironolactone improved these end points compared with placebo in subjects with early-stage CKD, but it is not known whether these effects were specific to the drug or secondary to blood pressure lowering.'"
"[('acute disease', 'C23.550.291.125'), ('administration', 'E02.319.283.199'), ('cerebral hemorrhage', 'C26.915.300.490.150.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('minocycline', 'D04.615.562.900.550'), ('neuroprotective agents', 'D27.505.954.427.575'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Acute Disease', 'Administration, Intravenous', 'Cerebral Hemorrhage', 'Female', 'Humans', 'Male', 'Minocycline', 'Neuroprotective Agents', 'Treatment Outcome']","b'Minocycline is under investigation as a neurovascular protective agent for stroke. This study evaluated the pharmacokinetic, anti-inflammatory, and safety profile of minocycline after intracerebral hemorrhage.'"
"[('acute disease', 'C23.550.291.125'), ('administration', 'E02.319.283.199'), ('cerebral hemorrhage', 'C26.915.300.490.150.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('minocycline', 'D04.615.562.900.550'), ('neuroprotective agents', 'D27.505.954.427.575'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Acute Disease', 'Administration, Intravenous', 'Cerebral Hemorrhage', 'Female', 'Humans', 'Male', 'Minocycline', 'Neuroprotective Agents', 'Treatment Outcome']","b'Studies have shown that nuclear factor erythroid 2-related factor 2 (Nrf2) can be modulated by physical exercise. However, the impact of resistance exercise has never been investigated in patients with chronic kidney disease (CKD). The aim of this study was to evaluate the effects of resistance exercise programs on the expression of transcription factors Nrf2 and nuclear factor \xce\xbaB (NF-\xce\xbaB) in CKD patients on hemodialysis (HD). Patients on an HD program were randomly assigned to an exercise group of 25 patients (54.5% women, aged 45.7\xc2\xb115.2years and time on dialysis=71.2\xc2\xb145.5months) or a control group of 19 patients who had no exercise intervention (61.5% women, aged 42.5\xc2\xb113.5years and time on dialysis=70.1\xc2\xb149.9months). A strength exercise program was performed 3 times a week during the HD sessions. Peripheral blood mononuclear cells were isolated and processed for the expression of Nrf2 and NF-\xce\xbaB by quantitative real-time polymerase chain reaction 3months before and after the exercise program. Using an enzyme-linked immunosorbent assay, the activity of glutathione peroxidase (GPx) as well as the products of high-sensitivity C-reactive protein and nitric oxide (NO) were assessed. Nrf2 expression (ranging from 0.86\xc2\xb10.4 to 1.76\xc2\xb10.8) and GPx activity were significantly increased after exercise intervention. In the exercise group, no difference in the levels of NO was observed; however, there was a significant reduction in the control group. In conclusion, these data suggest that resistance exercises seem to be capable of inducing Nrf2 activation in CKD patients on HD.'"
"[('chromatography', 'E05.196.181.750'), ('hirudins', 'D12.776.872.060.875'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('recombinant proteins', 'D12.776.828'), ('reproducibility of results', 'N06.850.520.445.725'), ('sensitivity and specificity', 'N06.850.520.830.872'), ('tandem mass spectrometry', 'E05.196.566.880')]","['Chromatography, High Pressure Liquid', 'Hirudins', 'Humans', 'Linear Models', 'Recombinant Proteins', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Tandem Mass Spectrometry']","b'Recombinant Neorudin (EPR-hirudin, EH), a novel, low-bleeding anticoagulant fusion protein, has been developed as an inactive prodrug that is converted to an active metabolite, hirudin variant 2-Lys47 (HV2), at the thrombus site and is undergoing Phase I clinical trials in China. The goal of our present research was to establish a novel ultra-performance liquid chromatography/tandem mass spectrometry (UPLC-MS/MS) method for simultaneously quantifying EH and HV2 in human serum. Furthermore, the method was used in clinical pharmacokinetic study after validation. The stock and dilute working solutions were dissolved in methanol/water (1/1, v/v) to avoid their adsorption. The internal standard (IS) used, had a similar structure to that of EH. The serum sample pretreatment involved protein precipitation with methanol. The volume ratio of the precipitating solvent to the serum sample was 3:1 (300\xce\xbcL methanol: 100\xce\xbcL serum sample). The chromatographic separation was performed using a 300\xc3\x85 C18 column using a multi-step gradient with a mobile phase consisting of acetonitrile:water containing 0.1% formic acid. The detection was carried out using an ESI source in the positive multiple reaction monitoring (MRM) mode. The within and between run precision were in the range of 3.5%-10.3% for EH and 3.3%-8.8% for HV2, and the accuracy of both EH and HV2 was between -4.6% and 2.1%. The extraction recoveries and matrix effect at three quality control (QC) levels for EH and HV2 were satisfactory. The stabilities of EH and HV2 during the storage, preparation, and analysis were confirmed, and the carryover also proved to be acceptable. This technique was efficiently used in Phase I clinical pharmacokinetic trials of EH following intravenous administration of 0.2mg/kg to healthy volunteers.'"
"[('chromatography', 'E05.196.181.750'), ('hirudins', 'D12.776.872.060.875'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('recombinant proteins', 'D12.776.828'), ('reproducibility of results', 'N06.850.520.445.725'), ('sensitivity and specificity', 'N06.850.520.830.872'), ('tandem mass spectrometry', 'E05.196.566.880')]","['Chromatography, High Pressure Liquid', 'Hirudins', 'Humans', 'Linear Models', 'Recombinant Proteins', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Tandem Mass Spectrometry']","b'Police officers frequently come into contact with individuals with mental health problems. Specialist training in this area for police officers may improve how they respond to individuals with mental health problems; however, evidence to support this is sparse. This study evaluated the effectiveness of one bespoke mental health training package for frontline police officers relative to routine training.'"
"[('adult', 'M01.060.116'), ('biomarkers', 'D23.101.140'), ('body weights and measures', 'G07.100.100'), ('clomiphene', 'D02.455.426.559.389.150.700.125'), ('energy metabolism', 'G03.295'), ('hormones', 'D27.505.696.399.472'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypoglycemic agents', 'D27.505.696.422'), ('metformin', 'D02.078.370.141.450'), ('middle aged', 'M01.060.116.630'), ('obesity', 'G07.100.100.160.120.699.500.500'), ('selective estrogen receptor modulators', 'D27.505.696.399.450.360.827'), ('testosterone', 'D06.472.334.851.968.984'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Adult', 'Biomarkers', 'Body Weights and Measures', 'Clomiphene', 'Energy Metabolism', 'Hormones', 'Humans', 'Hypoglycemic Agents', 'Male', 'Metformin', 'Middle Aged', 'Obesity', 'Selective Estrogen Receptor Modulators', 'Testosterone', 'Treatment Outcome']","b'Low testosterone (T) levels are often found in obese men with impaired glucose tolerance (IGT) and overt type 2 diabetes (T2DM); however, the mechanisms underlying this condition and its correct therapy are still under debate.'"
"[('adult', 'M01.060.116'), ('biomarkers', 'D23.101.140'), ('body weights and measures', 'G07.100.100'), ('clomiphene', 'D02.455.426.559.389.150.700.125'), ('energy metabolism', 'G03.295'), ('hormones', 'D27.505.696.399.472'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypoglycemic agents', 'D27.505.696.422'), ('metformin', 'D02.078.370.141.450'), ('middle aged', 'M01.060.116.630'), ('obesity', 'G07.100.100.160.120.699.500.500'), ('selective estrogen receptor modulators', 'D27.505.696.399.450.360.827'), ('testosterone', 'D06.472.334.851.968.984'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Adult', 'Biomarkers', 'Body Weights and Measures', 'Clomiphene', 'Energy Metabolism', 'Hormones', 'Humans', 'Hypoglycemic Agents', 'Male', 'Metformin', 'Middle Aged', 'Obesity', 'Selective Estrogen Receptor Modulators', 'Testosterone', 'Treatment Outcome']","b'Validation study using data from a multicenter, randomized, clinical trial (RCT).'"
"[('adult', 'M01.060.116'), ('behavior therapy', 'F04.754.137'), ('cytomegalovirus', 'B04.280.382.150.150'), ('cytomegalovirus infections', 'C02.256.466.245'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('motivational interviewing', 'N02.421.461.363.349.500'), ('outcome assessment (health care)', 'N05.715.360.575.575'), ('pregnancy', 'G08.686.784.769.580'), ('pregnancy complications', 'C15.378.785'), ('prenatal care', 'N02.421.585.786'), ('risk factors', 'N06.850.520.830.600.800.725'), ('risk-taking', 'F01.145.722'), ('single-blind method', 'N06.850.520.445.850'), ('text messaging', 'L01.178.847.698.300.500')]","['Adult', 'Behavior Therapy', 'Cytomegalovirus', 'Cytomegalovirus Infections', 'Female', 'Humans', 'Motivational Interviewing', 'Outcome Assessment (Health Care)', 'Pregnancy', 'Pregnancy Complications, Infectious', 'Prenatal Care', 'Risk Factors', 'Risk-Taking', 'Single-Blind Method', 'Text Messaging']",b'To estimate the effects of a brief prenatal behavioral intervention on risk behaviors for maternal cytomegalovirus (CMV) infection.'
"[('adult', 'M01.060.116'), ('behavior therapy', 'F04.754.137'), ('cytomegalovirus', 'B04.280.382.150.150'), ('cytomegalovirus infections', 'C02.256.466.245'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('motivational interviewing', 'N02.421.461.363.349.500'), ('outcome assessment (health care)', 'N05.715.360.575.575'), ('pregnancy', 'G08.686.784.769.580'), ('pregnancy complications', 'C15.378.785'), ('prenatal care', 'N02.421.585.786'), ('risk factors', 'N06.850.520.830.600.800.725'), ('risk-taking', 'F01.145.722'), ('single-blind method', 'N06.850.520.445.850'), ('text messaging', 'L01.178.847.698.300.500')]","['Adult', 'Behavior Therapy', 'Cytomegalovirus', 'Cytomegalovirus Infections', 'Female', 'Humans', 'Motivational Interviewing', 'Outcome Assessment (Health Care)', 'Pregnancy', 'Pregnancy Complications, Infectious', 'Prenatal Care', 'Risk Factors', 'Risk-Taking', 'Single-Blind Method', 'Text Messaging']",b'To estimate the effect of a 1% lidocaine paracervical nerve block on pain during intrauterine device (IUD) insertion compared with a sham block in adolescents and young women.'
"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('fatigue', 'C23.888.369'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('multiple sclerosis', 'C20.111.258.250.500.600'), ('patient selection', 'N04.590.731'), ('phototherapy', 'E02.774'), ('research design', 'H01.770.644.728'), ('severity of illness index', 'N06.850.520.308.980.438.475.364.500'), ('treatment outcome', 'N05.715.360.575.575.800'), ('young adult', 'M01.060.116.815')]","['Adult', 'Aged', 'Fatigue', 'Female', 'Humans', 'Male', 'Middle Aged', 'Multiple Sclerosis', 'Patient Selection', 'Phototherapy', 'Research Design', 'Severity of Illness Index', 'Treatment Outcome', 'Young Adult']","b'Fatigue is the most commonly reported symptom among multiple sclerosis (MS) patients, more than a quarter of whom consider fatigue to be their most disabling symptom. However, there are few effective treatment options for fatigue. We aim to investigate whether supplemental exposure to bright white light will reduce MS-associated fatigue.'"
