mesh terms,abstract,sequence
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'Current guidelines recommend that patients with unexplained chronic cough undergo empirical proton pump inhibitor (PPI) treatment, but scientific evidence for this treatment is lacking. We investigated the effectiveness and appropriate dose of PPI therapy in chronic cough.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'Elevated circulating insulin is associated with increased risk of recurrence and cancer mortality in early-stage colorectal cancer (CRC). We conducted a randomized controlled trial to determine the effect of a 12-week home-based exercise program on fasting insulin, adipocytokines, and physical function in CRC survivors.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'The objective of this trial was to assess the long-term effect of the CHANGE lifestyle coaching intervention for 428 people with abdominal obesity and schizophrenia spectrum disorders on cardiovascular risk. In this randomized, superiority, multi-center clinical trial, participants were randomized to 12 months of either lifestyle coaching plus care coordination (N = 138), care coordination alone, (N = 142) or treatment as usual (N = 148). There was no effect after 12 months, but we hypothesized that there might have been a delayed treatment effect. Our primary outcome at two-year follow-up was 10-year risk of cardiovascular disease standardized to 60 years of age. After two-years the mean 10-year cardiovascular-disease risk was 8.7% (95% confidence interval (CI) 7.6-9.9%) in the CHANGE group, 7.7% (95% CI 6.5-8.9%) in the care coordination group, and 8.9% (95% CI 6.9-9.2%) in the treatment as usual group (P = 0.24). Also, there were no intervention effects for any secondary or exploratory outcomes, including cardiorespiratory fitness, weight, physical activity, diet and smoking. No reported adverse events could be ascribed to the intervention. We conclude that there was neither any direct nor any long-term effect of individual lifestyle coaching or care coordination on cardiovascular risk factors in people with abdominal obesity and schizophrenia spectrum disorders. The trial was approved by the Ethics Committee of Capitol Region Copenhagen, Denmark (registration number: H-4-2012-051) and the Danish Data Protection Agency (registration number: 01689 RHP-2012-007). The trial was funded by the Mental Health Services of the Capital Region of Denmark, the Lundbeck Foundation, the Tryg Foundation, the Danish Ministry of Health, and the D\xc3\xa6hnfeldts Foundation.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'To report and compare 2 modified approaches for the active removal of silicone oil (ROSO) with a 23-gauge transconjunctival vitrectomy system.This prospective single blinded study was conducted from January 2015 to December 2016. Eighty-nine eyes of 86 patients who underwent silicone oil removal were enrolled. Patients were randomly divided into either group A or B. In group A, the fluid-air exchange tube was connected to a 1\xe2\x80\x8amL syringe with the plunger removed and the tip was dilated with a hemostat so that it fit into the cap of the 23-gauge cannula to form a seal for oil drainage. In group B, the tip of the syringe was closely attached to the cap of the 23-gauge cannula by a tube adaptor, which was salvaged from a used silicone oil inject and aspirate pack and sterilized. Main outcome measures were time required for silicone oil removal, silicone oil residual, intraoperative and postoperative complications including hypotony, bleeding, and retinal redetachment.The mean time required was 6.08\xe2\x80\x8a\xc2\xb1\xe2\x80\x8a0.31\xe2\x80\x8aminutes and 6.11\xe2\x80\x8a\xc2\xb1\xe2\x80\x8a0.31\xe2\x80\x8aminutes for groups A and B, respectively. No silicone oil residual, severe hypotony, recurrence of retinal detachment, or impairment of visual acuity were observed in either group. Conjunctival injection and hyperemia were slightly more severe in group A, but spontaneously resolved in 2 to 3 days.Both methods described in this paper were demonstrated to be safe, effective, and cost-effective for the ROSO. The syringe dilation method caused more severe conjuntival irritation, thus we suggest using the tube adaptor method for hospitals equipped with cold sterilization equipment.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'This 5-year prospective follow-up of women randomized to general anesthesia (GA) with or without a thoracic paravertebral block (TPVB) examined the risk of local recurrence, metastasis and mortality after breast cancer surgery.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']",b'To evaluate the efficacy and toxicity of vinorelbine and gemcitabine (NG) versus vinorelbine and cisplatin (NP) in anthracycline- and taxane-pretreated patients with HER2-negative advanced breast cancer.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'Despite increased use of guideline-directed medical therapy (GDMT), some patients with heart failure and reduced ejection fraction (HFrEF) remain at high risk for hospitalization and mortality. Remote monitoring of pulmonary artery (PA) pressures provides clinicians with actionable information to help further optimize medications and\xc2\xa0improve outcomes.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'The risk of recurrent ischemic and bleeding events after primary percutaneous coronary intervention (PCI) for ST-segment elevation myocardial infarction (STEMI) may not be uniform over time, which may affect the benefit-to-risk ratio of guideline-recommended antithrombotic therapies in different intervals.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'Virtual-reality and cadaveric simulations are expensive and not readily accessible. Innovative and accessible training adjuncts are required to help to meet training needs. Cognitive task analysis has been used extensively to train pilots and in other surgical specialties. However, the use of cognitive task analyses within orthopaedics is in its infancy. The purpose of this study was to evaluate the effectiveness of a novel cognitive task analysis tool to train novice surgeons in diagnostic knee arthroscopy in high-fidelity, phantom-limb simulation.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Chronic Disease', 'Cough', 'Female', 'Gastroesophageal Reflux', 'Humans', 'Male', 'Middle Aged', 'Proton Pump Inhibitors', 'Treatment Outcome']","b'Epsilon-aminocaproic acid (EACA) and tranexamic acid (TXA) are synthetic amino acid derivatives that interfere with fibrinolysis, promoting hemostasis by pharmacological means. Although both drugs have been shown to decrease blood loss with a minimal risk of thromboembolic adverse events following cardiac and vascular surgery, we are aware of only 1 published trial that directly compared the antifibrinolytic effects of EACA with those of TXA after total knee arthroplasty (TKA). The primary aim of this prospective, randomized, controlled trial was to determine whether TXA provides superior blood conservation following TKA compared with that provided by EACA.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('chronic disease', 'C23.550.291.500'), ('cough', 'C23.888.852.293'), ('gastroesophageal reflux', 'C06.405.117.119.500.484'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('proton pump inhibitors', 'D27.505.519.389.848'), ('treatment outcome', 'N05.715.360.575.575.800')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'The use of benzodiazepines to control agitation in delirium in the last days of life is controversial.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']","b'Despite extensive knowledge of hypertension treatment, the prevalence of uncontrolled hypertension is high and increasing in low- and middle-income countries.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
